"Finished","ID","SolarEnergy_1_1","SolarEnergy_2_1","HCost_1_1","HCost_2_1","CompSpend_1_1","CompSpend_2_1","CompSpend_3_1","MATH_1_1","MATH_2_1","LossAgr_1_1","LossAgr_2_1","LossAgr_3_1","AvgTemp_1_1","AvgTemp_2_1","AvgTemp_3_1","Extinction_Total_4","Extinction_AI_4","GCR_Total_4","GCR_AI_4","Extinction_Totalhalf_4","Extinction_AIhalf_4","GCR_Totalhalf_4","GCR_AIhalf_4","ExtinctionTotal_conf","ExtinctionAI_conf","GCR_Total_conf","GCR_AI_conf","ExtTotalHalf_conf","ExtAIhalf_conf","GCR_Totalhalf_conf","GCR_AIhalf_conf"
"True","PpZm9xZSfXI",6,3,1,0.5,2e+05,3e+05,4e+05,89,99,0,0,0,1.5,2,2.5,NA,NA,NA,NA,1e+12,1e+12,1e+06,1e+06,"","","","","Yes","Yes","Yes","Yes"
"True","P2IFeZZ1U2L",0.82,0.65,4,1.5,1.8e+11,2.5e+11,5e+11,40,95,2,10,20,1.6,2.2,4,NA,NA,NA,NA,1e+06,1e+07,1000,10000,"","","","","Yes","Yes","Yes","Yes"
"True","PWBlD83IXzc",5.5,3,2.5,1.8,180000,220000,5e+05,10,20,0,1,1.5,0.06,0.2,1.5,1e+09,2e+09,1e+12,2e+12,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PyETKBMBZ9t",9,3,1.6,1.3,2e+05,250000,4e+05,21,50,2,20,50,1.9,2.1,2.5,1e+13,1e+14,1e+07,2e+11,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PAuUS3lBNMO",0.045,0.03,4,1.3,1e+11,3e+11,1e+12,20,90,0,0,0.5,3,3.9,6,2,1e+07,98,1.5e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PJ3m9uFK9N5",0.025,0.005,2.75,1.25,3e+05,1e+06,1e+08,89,99.9,0,1,5,1.5,1.95,2.25,NA,NA,NA,NA,25,33,5,8,"","","","","Yes","Yes","Yes","Yes"
"True","PgMRRE5btZ4",0.03,9e-04,5,1.5,140000,190000,560,30,70,0,15,80,1.78,1.98,3,NA,NA,NA,NA,12,200,19,50,"","","","","Yes","Yes","Yes","Yes"
"True","PM7YCHjaQ6z",0.04,0.02,3,1.1,1.41e+08,2e+08,3.5e+08,20,35,0,1,1,2,2.5,2.7,1e+09,1e+09,1e+06,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PcDodlXisuH",0.8,0.55,1.7,0.8,172000,245000,4e+05,88,98,0.01,0.02,0.05,1.5,2.5,4,1e+09,1e+10,1e+08,1e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P4wC0IJi2II",1,0.2,5,1,1.23e+11,1e+12,1e+14,86,98,3,5,7,1.7,3.3,9,NA,NA,NA,NA,2000,6000,999,5000,"","","","","Yes","Yes","Yes","Yes"
"True","Pf4NRy23f5M",0.05,0.03,4,2,170000,2e+05,250000,8,10,0,0.5,1,1.9,2.2,0.75,5e+06,2e+07,250,2000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PsSkpNiXB5x",0.05,0.035,2.2,1.6,1e+11,1.8e+11,2.7e+11,89,92,0.01,0.012,0.02,1.5,1.6,1.4,NA,NA,NA,NA,2e+07,3e+07,1.2e+07,2.5e+07,"","","","","Yes","Yes","Yes","Yes"
"True","P6yHFyeXeZy",0.4,0.2,7,3,2.25e+11,4.29e+11,9e+11,25,30,0,5,10,1.5,2,4,NA,NA,NA,NA,1e+15,1e+15,8e+08,1e+09,"","","","","Yes","Yes","Yes","Yes"
"True","P9fdI8ImO4g",0.08,0.04,5,3,1.5e+09,3e+09,3e+10,30,95,10,20,40,5,6,3,10,100,5,50,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P98IG8qbTIO",2e+06,4e+05,2e+05,1e+05,1e+06,3e+06,6700000,40,80,20,55,80,1.2,1.4,1.5,3000,1e+06,100,2e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PYeb0elczXn",0.05,0.03,5,4,2e+08,3.25e+08,2e+09,86,90,0.25,0.5,1,1.3,1.9,1.5,2500,50000,300,1500,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PRlEc5osllQ",0.04,0.02,3,1.7,162505,213505,553505,16,24,5,26,48,2.76,3.15,3.68,2.5e+07,3.5e+07,1e+06,3e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PY7HOlTvByM",4,12,10,25,1e+08,1e+10,1e+17,90,95,5,18,52,4,16,35,NA,NA,NA,NA,2048,216,2,216,"","","","","Yes","Yes","Yes","Yes"
"True","PZM580b9bs7",0.05,0.03,2.5,1,150000,175000,210000,30,80,0,0,0,1.2,1.5,2.4,NA,NA,NA,NA,1e+07,1e+08,1e+05,5e+05,"","","","","Yes","Yes","Yes","Yes"
"True","PdXrlvslrqe",0.04,0.02,5,2.6,1.5e+11,2.1e+11,4e+07,19,42,4,35,93,1.8,3.1,5.2,208,423,12,66,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PSsTvG5YCAS",4,0.02,1.8,1.5,5e+06,1e+07,1e+08,10,30,5,3,1,14.2,14.5,15,1e+05,1e+06,1000,10000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P35TgXdm2Lz",0.05,0.02,7,3,2.5e+09,5e+09,4e+09,10,35,3,7,10,1.1,1.3,1.4,2e+07,1.5e+07,1500000,550000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PUrGFh03PMg",0.045,0.03,5,2,2e+05,350000,1e+06,30,99,0,5,10,1.5,2,3,NA,NA,NA,NA,10000,25000,200,500,"","","","","Yes","Yes","Yes","Yes"
"True","PTwtfesYrHW",0.6,0.3,4,2.4,135000,140000,145000,86,92,1,3,10,1.1,1.4,1.7,1e+09,5e+07,1e+07,5e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PigRGwrg4dh",6,3,1.3,1,1.25e+08,1.3e+08,1.5e+08,86,90,0.1,0.1,0.2,2,3,5,1.4e+07,1.5e+08,1.8e+07,2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PnZxB8WH0SC",0.05,0.03,2.5,1.5,150000,2e+05,240000,30,62,2,3,4,2,3,4,NA,NA,NA,NA,1e+31,1e+25,1e+12,1e+15,"","","","","Yes","Yes","Yes","Yes"
"True","PiBELvmz2z3",4,3,8,2.4,219734,307676,454246,30,94.08,0,0,0,1.36,1.7,2.55,NA,NA,NA,NA,8e+08,2e+09,1e+06,1e+09,"","","","","Yes","Yes","Yes","Yes"
"True","P2XK7zzVNHd",4,3,3.5,5,50000,57000,66000,30,35,30,39,45,2.5,2.9,3.4,2e+07,5e+07,1e+06,2e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P95S2Bfl4FS",1,0.95,3,2,1.5e+11,2e+11,4e+11,85,88,0,0,20,1,1.1,1.25,1e+14,1e+20,1e+08,1e+11,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PN0pAUuAxIN",0.04,0.02,8,2,1e+09,1e+10,1e+11,30,60,0,0,0,1.5,1.5,2,NA,NA,NA,NA,3e+08,1e+28,3e+08,1e+25,"","","","","Yes","Yes","Yes","Yes"
"True","PymVYTYjHpk",0.56,0.45,1.56,2.45,236417,278524,410658,7.2,3.2,0,0,0,0.9,0.11,0.15,NA,NA,NA,NA,3000,2354,28,30,"","","","","Yes","Yes","Yes","Yes"
"True","PZ1ninjJMzo",0.04,0.03,2.8,1.3,176000,219734,366304,30,60,0,0,0,2,3,5,NA,NA,NA,NA,1e+05,2e+05,80000,1e+05,"","","","","Yes","Yes","Yes","Yes"
"True","PbkpYLBN0BX",0.07,0.04,5.5,1.3,1.5e+08,3.5e+08,1e+08,30,100,0,0,10,1.2,3.6,2,NA,NA,NA,NA,2000,20000,200,100,"","","","","Yes","Yes","Yes","Yes"
"True","PM918M1uq2d",0.04,0.03,4,2,150000,170000,190000,20,40,5,5,5,2,3,4,1.5e+08,1.5e+08,2000,1e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PnnTGRaRIsx",10,8,6,9,86000,90000,95000,30,65,10,15,10,2,3,6,NA,NA,NA,NA,2048,2048,2048,2048,"","","","","Yes","Yes","Yes","Yes"
"True","PkDToTW3b7V",12,5,5,24,2.23392e+11,4.133e+09,7.8956e+10,606,6072,2,15,29,1521,1816,2156,6e+08,6e+10,61600000,1.325e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PoCba7e5yKF",8,4,5,1,2e+05,4e+05,7e+05,30,70,6,2,1,2,4,6,9000,988888,60,90,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P6P9kDrd7Z4",0.05,0.02,5,3,150000,180000,2e+05,30,40,0.5,2.5,8,1.5,2.5,3.5,NA,NA,NA,NA,100,110,20,40,"","","","","Yes","Yes","Yes","Yes"
"True","PQrzduCnl8H",0.39,0.49,3,1.5,160000,2e+05,4e+05,30,40,5,10,40,2.3,3,5,NA,NA,NA,NA,4000,4000,2000,2500,"","","","","Yes","Yes","Yes","Yes"
"True","PgVAWQihvSf",5.5,3.5,5,2.5,2e+05,4e+05,1e+06,30,85,0.001,0.01,0.1,1,1.2,0.8,NA,NA,NA,NA,1e+05,1e+09,1e+05,1e+07,"","","","","Yes","Yes","Yes","Yes"
"True","PqDqwJ845jn",5,3,2,1.3,1e+09,4e+09,5e+10,39,50,1,2,2,1.72,1.8,1.9,1e+07,1e+07,2,98,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PAaaifRPJXy",0.07,0.01,4,10,4.5e+14,5e+14,5.5e+14,7,15,5,0,5,2,2.03,2.1,NA,NA,NA,NA,2048,2048,98,216,"","","","","Yes","Yes","Yes","Yes"
"True","P0BvNGszIQa",7,5,2.7,2.2,3e+08,4.3e+08,7e+08,30,65,0,0,0,1.7,2.1,3,1e+09,1e+10,50000,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PtT5tejRt23",0.05,0.03,1.3,1,847480708800,1690779457628,16902233655308,30,75,5,5,5,1.2,1.36,1.76,1.5e+07,1.5e+07,1e+07,1e+07,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PuMtzFMNjku",0.05,0.03,5,1.3,130000,235000,1500000,30,50,5,20,5,8,6,4,NA,NA,NA,NA,10000,1e+09,100,1000,"","","","","Yes","Yes","Yes","Yes"
"True","P8IkN5JWK2j",0.05,0.03,3.5,1.3,2160001,3e+05,6e+05,30,60,15,13,10,1.32,3.5,9,NA,NA,NA,NA,1e+06,2e+06,1e+06,3e+06,"","","","","Yes","Yes","Yes","Yes"
"True","PvUcVV3dJ5Z",0.8,0.3,5,1.5,2e+11,2.2e+11,2.5e+11,85,93,1,2,5,1.5,2.5,2.8,1e+08,1e+08,1100,1e+06,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PBP0jyZl8dL",0.05,0.04,5,3,2.7e+11,5.4e+11,1.5e+13,50,70,1,10,50,2.3,2.5,3,1e+07,1e+08,10,1000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PIXDKZcntTB",0.5,0.24,6,4,40,50,65,2,4,20,40,70,1.2,1.4,1.8,NA,NA,NA,NA,4000,6000,5000,6000,"","","","","Yes","Yes","Yes","Yes"
"True","PrF4izfPZSs",0.05,0.03,2,1.3,183000,243000,313000,30,70,1,1,1,1.3,1.6,1.8,NA,NA,NA,NA,1e+06,1e+06,10000,1e+05,"","","","","Yes","Yes","Yes","Yes"
"True","P6QlZ1K0b7e",0.6,0.3,1.7,1.3,2e+05,250000,3e+05,6.6,6.1,35,30,20,NA,NA,NA,1e+11,1e+11,1e+08,1e+09,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PTVhs3rbTvJ",0.04,0.005,4.5,1.6,140000,170000,250000,30,85,5,2,2,1.1,1.4,1.7,5000,20000,200,1000,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","P7Xw8fDrVzZ",10000,12000,5,3,10000,12000,15000,10,12,10,20,30,3,5,8,NA,NA,NA,NA,75,10000,25,50,"","","","","Yes","Yes","Yes","Yes"
"True","P0DKx3BNQLw",0.045,0.03,4.5,2.4,1.7e+11,2.15e+11,375000,0.8,0.999,2,15,5,1.67,2,2.86,25,50,15,22,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
"True","PreIldCq881",0.05,0.035,5.5,2.1,1.6e+11,2.1e+11,510000,35,50,0.01,0.05,0.2,1.3,1.45,1.7,NA,NA,NA,NA,2e+06,2300000,1400000,1900000,"","","","","Yes","Yes","Yes","Yes"
"True","P3r2uTwzoCU",0.5,0.2,4,1,1.6e+08,2e+08,3e+08,7.1,15,5,6,15,1.5,1.7,1.2,1.1e+07,1.2e+07,5e+05,1e+05,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","","","",""
