"Finished","ID","NYTAI","CountryNukeUse_1_1","CountryNukeUse_2_1","CountryNukeUse_3_1","CountryNukeUse_4_1","CountryNukeUse_5_1","CountryNukeUse_6_1","CountryNukeUse_7_1","CountryNukeUse_8_1","CountryNukeUse_9_1","CountryNukeUse_10_1","CountryNukeUse_11_1","CountryNukeUse_12_1","SolarWindEnergy_1_1","SolarWindEnergy_2_1","CO2Cap_1_1","CO2Cap_2_1","Bostrom_1_1","Bostrom_2_1","Bostrom_3_1","GDP115_actual","Extinction_Total","Extinction_AI","GCR_Total","GCR_AI","Extinction_Totalhalf","Extinction_AIhalf","GCR_Totalhalf","GCR_AIhalf"
"True","PM7YCHjaQ6z",2040,0,0,0,0,0,0,0,0,0,0,0,0,45,55,12,85,50,60,80,2,1e-06,1e-06,1e-04,1e-07,NA,NA,NA,NA
"True","PcKcSuYZSFL",2050,1,1,0.5,3,3,2,3,2,4,0.3,0.2,80,12,25,1,50,50,70,90,70,15,5,60,15,NA,NA,NA,NA
"True","Po5CxPV0lMx",2040,0,0,0,0,0,0,0,0,0,0,0,100,40,50,5e+05,750000,0,40,60,20,NA,NA,NA,NA,0,0,1,1
"True","PqDqwJ845jn",2028,5,0,0,2,15,0,20,0,1,0,0,30,2,5,1.5,3,70,0,0,50,6.7e-06,6.7e-06,1.02,0.49,NA,NA,NA,NA
"True","PpZm9xZSfXI",2030,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,99.9,15,20,50,85,50,70,90,75,NA,NA,NA,NA,1e-06,1e-04,0.001,1e-06
"True","PBA5i64MmOZ",2050,5,2,2,7,5,3,7,3,3,0,0,0,9,15,0.02,0.04,25,30,0,70,1e-07,1e-07,5,1e-06,NA,NA,NA,NA
"True","PonW3lOpcCy",2075,10,0,0,0,15,0,30,0,0,0,12,50,10,40,2,5,25,100,100,10,0.01,0.049,1,1,NA,NA,NA,NA
"True","P4wC0IJi2II",2100,3,0.2,0.2,3,3,0.2,10,0.2,12,0.2,1,67,12,20,3,15,20,60,90,67,NA,NA,NA,NA,0.001,1e-04,70,5
"True","P6vIkmYbNfo",2030,5,0,1,20,5,1,10,0,30,1,1,75,40,50,3e+09,1e+10,1,3,10,60,NA,NA,NA,NA,1,0.001,5,3
"True","PZ6cUL9OoB2",2025,0.1,5e-04,0.2,0.3,0.03,0.09,0.8,0.001,0.6,3e-04,1,99,14,24,40,60,3,50,90,57,0.9,0.01,6,0.3,NA,NA,NA,NA
"True","PTVhs3rbTvJ",2040,0,0,0,0,0,0,0,0,0,0,0,100,47,65,10,60,2,15,70,2,0.1,0.002,0.9,0.06,NA,NA,NA,NA
"True","PWPJ4iAOo4L",2049,0.001,8e-05,0.00043,0.00032,0.0022,0.00034,0.0067,5e-05,0.00078,3.4e-06,2.2e-05,99.999976,17.2,29.2,46,104,26,55,95,66,NA,NA,NA,NA,0.00045,0.000786,0.00437,0.00762
"True","PoMwyaBZi1n",2030,50,7,2,3,42,3,47,0,6,4,3,99,13,20,250,730,12,32,60,50,NA,NA,NA,NA,5,7,2,4
"True","PXqGWSxUXUO",2030,0,0,0,0,20,0,0,0,0,0,0,80,16,30,2,100,20,20,30,10,NA,NA,NA,NA,0.049,0.049,0.46,0.049
"True","PJ3m9uFK9N5",2038,40,5,50,50,50,50,50,5,40,50,50,50,15,34,3,75,5,60,98,30,NA,NA,NA,NA,18,10,30,12
"True","P5bFL6MscPG",2040,0,0,0,0,3,0,3,0,0,0,0,94,15.5,30,1,2.2,5,60,90,10,1,0.1,10,5,NA,NA,NA,NA
"True","PXctH55oDPm",2030,50,50,50,50,50,50,50,50,50,50,50,50,40,45,60,85,50,50,50,50,NA,NA,NA,NA,1,1,1,1
"True","P3yLqxiSTDi",2028,70,25,45,25,70,30,85,20,20,10,10,20,15,40,25,50,25,40,50,50,10,10,15,10,NA,NA,NA,NA
"True","P6SF1wvasYK",2032,1,1,3,5,4,3,2,2,2,1,1,98,13,18,0.59,2,0,6,20,30,NA,NA,NA,NA,5e-04,3e-04,0.005,0.003
"True","PAuUS3lBNMO",2030,5,5,0,100,50,100,50,5,5,5,5,80,20,30,35,85,50,70,100,100,NA,NA,NA,NA,15,0.5,50,5
"True","PezBnBVZmzw",2060,10,5,10,8,20,7,20,5,10,1,1,0,15,20,10,25,100,100,100,5,NA,NA,NA,NA,0.2,0.1,10,4
"True","P3JtuLZxHUt",2070,0.1,0.001,0.001,0.05,0.1,0.01,0.1,0.001,0.01,0.001,0.001,998,20,35,1.3,20,0.01,5,20,50,1e-08,1e-09,0.01,1e-07,NA,NA,NA,NA
"True","PSPwV4t9jvx",2030,8,4,7,7,8,9,10,5,6,3,2,1,15,20,50,85,50,70,80,100,NA,NA,NA,NA,8,0.2,2,0.1
"True","PhuEnQRJ1qi",2060,0,0,0,0.25,0.25,0,0.5,0,0,0.1,0.25,0,12,24,0.015,1.1,0.1,0.3,0.8,0,1e-10,1e-10,1e-06,1e-05,NA,NA,NA,NA
"True","PrkDZuA2BNZ",2030,0,0,0,0,30,0,70,0,0,0,0,0,40,45,50,60,50,75,100,115,10,20,50,25,NA,NA,NA,NA
"True","PK5qK5KS8kA",2100,2,0,1,1,5,3,6,0,0,0,0,99,40,55,0.5,50,50,90,99,50,NA,NA,NA,NA,1,0.1,5,1
"True","P0DKx3BNQLw",2050,1,0.01,0.8,0.01,0.1,0.4,1,0.01,1.2,0.001,0.002,90,15,30,37.5,85,2,40,90,2045,1e-05,5e-06,0.001,5e-04,NA,NA,NA,NA
"True","PyETKBMBZ9t",2034,5,0,5,5,5,5,10,0,5,0,0,50,15,38,2,90,10,20,50,40,1e-11,1e-12,1e-10,1e-11,NA,NA,NA,NA
"True","PL0SkuvXK2f",2040,4,1,1,1,2,2,8,1,2,1,2,75,12.9,19.8,45,80,50,75,85,5,1e-08,1e-11,1e-04,1e-05,NA,NA,NA,NA
"True","PgUt4xY0psJ",2100,56,40,20,65,60,45,76,13,35,18,18,35,13,20,45,85,45,66,78,7,13,6,14,24,NA,NA,NA,NA
"True","Pc79rcojNV0",2027,19,0,10,1,5,15,5,1,10,4,20,10,15,25,19,85,35,40,90,80,1e-07,1e-08,2e-04,1e-04,NA,NA,NA,NA
"True","PgMRRE5btZ4",2065,15,5,1,20,54,25,56,5,21,10,0,0,15,30,5,85,90,10,0,25,0.005,1e-05,20,1e-04,NA,NA,NA,NA
"True","P6xm9gAv351",2035,0,0,0,0,20,0,65,0,40,0,0,70,10,25,1,70,10,60,0,100,NA,NA,NA,NA,1,0.3,10,3
"True","PkvFNcYsGZd",2049,10,50,100,100,50,5,10,75,100,10,10,10,10,20,0,4.7,0,5,50,27,NA,NA,NA,NA,1e-05,0.001,0.005,0.001
"True","PNMkqJmNyVy",2046,1,1,1,1,1,1,15,1,1,1,1,78,45,56,202,568,2,8,10,28,0,0,0.007,5e-04,NA,NA,NA,NA
"True","PcyS1uH6T3M",2035,10,1,1,5,5,5,10,1,3,1,1,57,15,20,0.12,85,50,70,99,90,NA,NA,NA,NA,0.1,2,10,5
"True","PlwyHQCC0tO",2050,30,1,5,1,30,35,35,1,5,0,0,75,15,35,25,85,95,98,99,50,NA,NA,NA,NA,0.002,0.002,0.005,0.002
"True","PzdvCnLVur5",2050,40,5,10,0,40,2,15,1,15,10,10,80,12,20,52,85,10,20,50,10,NA,NA,NA,NA,3,0.1,1,0.5
"True","PrF4izfPZSs",2050,3,2,5,2,5,5,10,2,5,1,1,80,11,16.4,1,42,30,50,90,70,1,1e-05,1,0.001,NA,NA,NA,NA
"True","PZM580b9bs7",2052,0.01,0.001,0.001,0.01,0.1,0.001,0.05,0.001,0.1,0.005,0.005,0.05,8,20,2,85,1,2,50,50,2,1,2,0.1,NA,NA,NA,NA
"True","P28ZyiuuoY7",2060,0,0,0,2,5,3,3,0,1,1,2,95,13.4,22.3,5,30,1,2,5,5,NA,NA,NA,NA,0.01,0.05,15,5
"True","PRlEc5osllQ",2055,60,20,40,10,50,40,70,10,70,0,0,70,11,17,20,40,50,55,75,30,5e-08,8e-09,4.5e-05,6.4e-06,NA,NA,NA,NA
"True","P3r2uTwzoCU",2035,1,0,5,10,10,5,5,0,2,2,10,1,45,60,6,20,5,50,90,20,1e-05,1e-04,0.00033,1e-05,NA,NA,NA,NA
"True","PcwIEA0Nm2k",2033,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,99.99,18,30,0.1,1,0.01,0.05,0.2,0.01,1e-08,1e-09,1e-07,1e-08,NA,NA,NA,NA
"True","P7pQJVDUCBm",2100,0,0,0,0,0,0,10,0,0,0,0,10,20,40,5,85,100,100,100,75,1e-09,4e-22,1e-05,1e-07,NA,NA,NA,NA
"True","PU7t4ACvZYH",2025,15,5,5,10,30,10,30,5,20,5,5,35,15,30,70,125,10,30,50,0,0,5,5,10,NA,NA,NA,NA
"True","PcNKnAmsc7C",2049,3,2,1,1,2,1,2,1,2,2,2,60,15,20,5,85,25,50,80,60,NA,NA,NA,NA,0.5,0.4,2,0.5
"True","PhUdns6O9Fp",2048,1,0,0,0,1,0,1,0,0,0,0,0,8,10,5,85,0,5,25,75,0,0,0,0,NA,NA,NA,NA
"True","PLXpD9Cbh9n",2029,45,0,0,20,7,7,50,5,45,0,0,0,20,56,30,55,5,15,46,0.5,NA,NA,NA,NA,15,1,15,3
"True","PnZxB8WH0SC",2040,10,3,4,4,25,5,30,1,5,1,1,70,11.5,15,19,80,5,20,50,4,NA,NA,NA,NA,1e-64,1e-44,1e-18,1e-30
"True","PdXrlvslrqe",2045,0.6,0.1,0.9,0.7,2.4,0.9,4.3,0.1,1.3,0.6,0.8,98,13,19,12,75,2,17,19,18,0.9,0.2,8,1.65,NA,NA,NA,NA
"True","Pzvnj39pW56",2026,5,0,2,3,8,2,8,1,4,2,1,80,15,22,2,100,25,60,100,5,12,3,15,6,NA,NA,NA,NA
"True","PhYQIb4XzOA",2052,10,0,0,15,15,10,20,0,1,0,0,0,15,20,60,85,30,50,60,10,0.5,0.001,0.03,0.005,NA,NA,NA,NA
"True","P2IFeZZ1U2L",2050,1e-04,1e-08,1e-04,1e-06,1e-04,1e-04,0.001,1e-08,1e-06,1e-08,1e-13,99,15,23,35,85,25,65,90,2,NA,NA,NA,NA,1e-05,1e-08,2,0.01
"True","P6YGuuP1Tjg",2030,3,1,0,5,4,0,7,1,1,0,0,0,20,30,75,90,50,70,90,30,1e-08,1e-09,1e-08,3e-06,NA,NA,NA,NA
"True","Pf4NRy23f5M",2055,2,0,5,1,1,5,2,0,1,1,1,98,12,18,0.02,70,2,20,50,70,2e-06,2e-07,0.001,1e-05,NA,NA,NA,NA
"True","PMe8OPck68b",2025,700,200,250,100,500,300,200,100,700,1000,700,0,14,20,12,85,100,100,100,30,6.75e-06,1.02,10,3.85,NA,NA,NA,NA
"True","PcDodlXisuH",2080,0,0,0,0,0.02,0,0.05,0,0,0,0,0.95,13,23,5,80,0.1,0.5,0.8,10,1e-10,1e-11,1e-09,1e-10,NA,NA,NA,NA
"True","PyOIqz81T4h",2050,30,5,5,20,40,7,20,3,10,8,8,2,10,20,0.25,2.5,30,40,55,25,2,5,3,4,NA,NA,NA,NA
"True","PSsTvG5YCAS",2049,5,0,1,2,10,3,10,0,5,0,0,0,4,6,50,85,50,50,50,10,5e-04,1e-05,0.005,2e-04,NA,NA,NA,NA
"True","PCP7NaBnElC",2082,0.8,0.1,1.6,0.4,0.9,1.3,0.9,0.1,1.5,0.2,0.2,90,11,18,8,95,50,75,90,30,NA,NA,NA,NA,10,1,60,5
"True","P2XK7zzVNHd",2030,0,0,0,0,0,0,0,0,0,0,0,100,20,45,0.89,2.3,30,15,5,2.1,0.5,0.1,0.2,0.3,NA,NA,NA,NA
"True","P9fdI8ImO4g",2040,5,1,3,2,5,2,5,1,5,1,0.5,95,15,25,1,90,20,70,90,75,5,1,15,5,NA,NA,NA,NA
"True","PoXfHuaqm90",2052,0,0,0.01,0.01,0.05,0.01,0,0,0,0,0,0.99,15,20,1.3,85,0,0,0,1,NA,NA,NA,NA,0.1,0.01,1,0.1
"True","PzO59nrjL0b",2036,0,0,0,0,0,0,0,0,0,0,0,1,15,30,3,85,0.1,0.3,0.8,0.8,0,0,1e-07,1e-10,NA,NA,NA,NA
"True","PZ1ninjJMzo",2050,0,0,10,10,25,10,0,0,0,50,50,50,18,24,38,85,50,100,100,75,NA,NA,NA,NA,0,0,0,0
"True","PM918M1uq2d",2035,5,1,1,2,10,2,5,1,2,2,1,70,12,25,30,85,15,25,40,30,1e-05,5e-06,1e-04,5e-04,NA,NA,NA,NA
"True","P6P9kDrd7Z4",2040,20,1,3,10,20,10,50,1,5,2,2,90,20,50,60,85,20,60,90,75,0.05,0.008,50,40,NA,NA,NA,NA
"True","PdyDDKFNjSw",2030,40,20,20,40,70,20,80,40,40,10,10,50,15,25,70,85,30,50,100,30,5.1e-05,1.2e-08,8.7e-05,4.6e-06,NA,NA,NA,NA
"True","P35TgXdm2Lz",2035,3,0,0,0,1,0,4,0,2,0,0,90,12,15,6,15,15,25,75,20,NA,NA,NA,NA,0.025,0.001,1.75,1
"True","PQrzduCnl8H",2050,25,2,20,15,25,20,10,5,5,1,1,50,15,40,0.02,85,50,50,50,100,5e-06,2e-06,0.03,0.01,NA,NA,NA,NA
"True","PiUmeczZTqa",204,100,10,60,70,100,90,100,50,50,10,10,10,10,30,10,20,100,100,100,50,NA,NA,NA,NA,0.1,1,2,2
"True","P6yHFyeXeZy",1e+210,0,0,0,1,2,0,10,0,5,0,0,80,15,23,10,85,0,50,50,5,0,0,1,0.05,NA,NA,NA,NA
"True","PMNB4FmJgGC",2150,5,1,2,5,6,2,7,2,4,1,1,95,13,20,1.1,2.3,5,15,35,70,NA,NA,NA,NA,1.5,0.75,3.5,0.8
"True","PbWib0O2fTq",2050,25,2,2,10,30,2,25,2,2,2,1,80,12,25,1,2.3,1,40,80,20,NA,NA,NA,NA,1e-05,1e-07,0.001,2e-04
"True","P8IkN5JWK2j",2050,10,15,30,50,50,50,50,10,10,2,2,70,11,17,35,80,5,20,50,70,0.8,1,3,2,NA,NA,NA,NA
"True","PeT0WiiAZUl",2030,0.0011,0.001,0.001,0.005,0.01,0.002,0.04,0.001,0.001,0.001,0.001,99.99,13,20,9,74,0,0,0,15,NA,NA,NA,NA,1e-08,1e-13,1e-04,1e-09
"True","PY7HOlTvByM",2090,80,25,43,93,77,38,88,60,86,20,14,2,5,12,12,18,4,16,72,83,6.7e-06,1e-04,1e-05,6.7e-06,NA,NA,NA,NA
"True","PSQ0iHOQh3f",2053,0,0,0,0,1,0,2,0,2,0,0,95,20,50,10000,40000,5,65,95,5,0.02,1e-05,0.02,0.001,NA,NA,NA,NA
"True","PVosmGZv9pj",2035,7,2,7,7,9,6,9,2,5,10,1,90,17,67,20,85,35,60,97,85,1e-10,1e-13,1e-08,1e-10,NA,NA,NA,NA
"True","PnQpTAOadM4",90,0,0,0,0,0.5,0,0,0,0,0.5,1,98,15,45,2,85,15,60,100,85,NA,NA,NA,NA,0.5,0.1,2,1
"True","P5kUmCxDC1h",2055,0.2,0.001,0.001,0.2,0.2,0.1,0.2,0.001,0.2,0.1,0.1,98,45,55,15,95,20,50,90,32,NA,NA,NA,NA,1e-16,1e-14,1e-09,1e-10
"True","PjOMncdM9Cy",2060,3,0.25,1,0.25,2,1,2,0.5,2,2,2,84,13,25,10,90,20,50,90,2,NA,NA,NA,NA,1e-08,1e-11,1e-07,1e-08
"True","PIXDKZcntTB",2032,2,1,1,3,1,1,4,1,5,1,0,80,10,15,60,85,10,50,90,10,0.00567,0.666,1.23e-08,0.00034,NA,NA,NA,NA
"True","PgVAWQihvSf",2250,0.01,1e-05,1e-04,0.01,0.02,0.001,0.02,1e-07,0.001,1e-04,1e-07,99.999,44,75,4,40,0.5,2,9,1.2,NA,NA,NA,NA,0.001,1e-08,0.001,1e-07
"True","PCxTZNHBFsx",2045,10,0,3,12,5,5,8,0,0,0,0,50,12,15,30,70,50,70,85,15,NA,NA,NA,NA,30,10,50,10
"True","PuMtzFMNjku",2030,0,0,0,0,1,0,0,0,0,0,0,99,12,22,6,85,1,1,0,50,0.01,0,15,3,NA,NA,NA,NA
"True","P7Xw8fDrVzZ",2035,16,12,10,12,50,15,48,13,43,0,0,0,52,64,34,58,20,28,36,12,NA,NA,NA,NA,1,2,12,10
"True","PGzpaFdmFrn",80,90,10,2,25,95,3,95,10,10,15,75,35,12.5,40,1.2,85,30,50,95,90,NA,NA,NA,NA,1e-05,1e-06,0.05,0.05
"True","PoCba7e5yKF",2035,40,6,6,50,10,6,15,6,10,4,4,90,13,7,70,88,60,70,80,90,NA,NA,NA,NA,1,1,897,7e+42
"True","PJeAERAbOPF",2065,7,0.2,3,7,15,4,12,0.4,0.4,5,5,41,14,20,40,80,100,100,100,75,5.5e-07,2.7e-07,2.1e-06,1.4e-06,NA,NA,NA,NA
"True","PAaaifRPJXy",2100,0.05,0.02,5,3,2,0.03,0.05,0.02,0.04,0.01,0.01,0.1,12,20,2.722,4.536,10,60,80,0.1,5e-07,1e-08,1e-05,1e-07,NA,NA,NA,NA
"True","PpQ3yGUCPuz",2060,90,40,80,90,95,90,95,40,60,30,30,50,45,60,30,50,50,50,50,65,NA,NA,NA,NA,25,45,45,40
"True","PbkpYLBN0BX",2100,0,0,0,5,10,5,10,0,5,0,5,60,18,33,1.5,85,50,100,100,100,0.05,0.02,0.1,0.04,NA,NA,NA,NA
"True","PtT5tejRt23",2024,5,2,2,2,5,2,5,2,5,2,6,95,18,50,45,100,8,50,70,15,1e-04,1e-05,1e-04,1e-05,NA,NA,NA,NA
"True","PGirSmcR7br",2035,0,0,0,0,0.1,0,0,0,0,0,0,99.9,12,25,0.9,1.5,0,80,99,99.5,1e-100,0,NA,NA,NA,NA,NA,NA
"True","PY6OZhyI1uF",2026,78,67,68,65,68,67,76,80,82,78,76,10,58,67,50,60,50,54,67,87,NA,50,45,60,NA,NA,NA,NA
"True","Pu0qkcoRyHY",2035,0,0,0,0,1,0,1,0,0,0,0,99,12,15,4,9,10,20,35,1,1e-10,1e-13,1e-13,1e-13,NA,NA,NA,NA
"True","PnnTGRaRIsx",2100,5,5,5,5,10,5,10,5,10,5,5,50,25,30,20,30,5,10,30,35,1,0,1,3,NA,NA,NA,NA
"True","P2Jo6mkheCC",2080,60,2,1,45,75,4,75,10,15,5,4,45,42,60,5,35,50,60,75,25,NA,NA,NA,NA,0.3,0.001,0.2,0.08
"True","P4fzFBIjVsw",2040,5,0,0,0,5,0,5,0,0,4,4,95,13,19,1,2,28,61,100,2040,1,3,2,6,NA,NA,NA,NA
"True","PpLNsKTS7im",2100,30,5,5,40,20,5,30,20,30,0,0,20,30,35,1.1,5,40,60,90,20,1,0.5,5,1,NA,NA,NA,NA
"True","PsSkpNiXB5x",2032,0,0,0,0,0.02,0,0,0,0,0,0,99.98,40.5,47,8,65,0,10,80,0.02,2e-09,5e-10,1e-07,4e-08,NA,NA,NA,NA
"True","Pdj72AU2SgT",2035,5,2,20,5,15,25,25,1,2,0,0,80,13.6,21,0.01,75,50,75,95,25,NA,NA,NA,NA,2,1,30,10
"True","Pew6tv2zzQO",2075,1,0,1,0,3,1,3,0,1,0,0,99,33,45,1,80,1,2,3,2,1e-18,1e-29,1e-13,1e-18,NA,NA,NA,NA
"True","PSzNbO4h3yE",2051,10,5,2,8,4,2,25,2,20,5,5,77,10,13,38,88,2,20,80,30,NA,NA,NA,NA,15,10,22,20
"True","PymVYTYjHpk",2030,100,100,100,100,100,100,100,100,100,50,50,0,20.3,35,55,85,15,36,50,NA,NA,NA,NA,NA,0,0,50,0
"True","PKiXMstmOmq",2045,2,0,0,0,1,0,1,0,1,0,0,96,60,85,6,10,100,100,100,75,1e-06,5e-07,2e-06,5e-07,NA,NA,NA,NA
"True","PUrGFh03PMg",2040,0,0,0,0,0,0,0,0,0,0,0,100,18,35,0.5,85,2,10,25,20,1e-15,1e-11,0.1,0.05,NA,NA,NA,NA
"True","PGcfJuStZIM",2050,0.01,0,0.05,0.05,0.5,0.1,0.5,0,0.5,0,0.1,98.5,17,35,0.015,0.05,0.1,10,10,99,NA,NA,NA,NA,0.05,1,0.5,1
"True","PtWhGuZlYGx",2040,15,1,2,5,15,2,15,2,10,1,1,2,12,18,30,85,50,60,65,50,0.2,0.002,1,0.1,NA,NA,NA,NA
"True","P4UwLl2wr2k",2035,3,1,1,1,1,1,5,1,4,1,1,95,31,34,0.013,0.1,10,59,100,2075,NA,NA,NA,NA,2,1,10,8
"True","P91QEqjhcZS",2075,0,0,10,10,10,10,20,0,0,0,0,90,13,20,5,6,1,5,15,60,NA,NA,NA,NA,1,1,5,3
"True","P8eSYyEn626",2035,50,20,15,60,70,15,80,12,80,15,10,5,35,45,5,80,80,95,100,90,60,50,60,80,NA,NA,NA,NA
"True","P55EtOviLcv",2090,0.05,0.005,0.003,0.02,0.1,0.006,0.5,0.005,0.02,0.02,0.01,98,13,16,10,30,5,25,50,95,1e-14,1e-16,1e-11,1e-14,NA,NA,NA,NA
"True","PiiUvn24MT1",2029,0.1,0,0.2,0.4,0.7,0.2,1,0,0,0.2,0.2,97,13,25,0.02,0.05,50,70,70,0.05,NA,NA,NA,NA,1e-05,1e-14,2,1e-05
"True","Pry3j9CiRVd",2060,2,0,0,5,6,2,8,2,3,0,0,90,14,18,2000,4500,70,80,0,60,NA,NA,NA,NA,0.1,0,3,0.1
"True","PeBnKQQqazS",2027,10,1,2,2,30,1,30,1,4,0,0,70,27,67,35,90,10,65,99,75,5e-07,5e-08,0.05,5e-06,NA,NA,NA,NA
"True","PaSR5AiUZfQ",2035,40,22,25,15,40,25,45,35,40,45,45,20,35,45,30,40,45,55,85,50,40,15,45,35,NA,NA,NA,NA
"True","PduNwZqpLoY",2024,80,20,50,80,100,20,100,30,98,20,20,1,4,8,7,12,100,100,100,85,NA,NA,NA,NA,10,10,2,5
"True","P8NFjUiCaGn",2033,5,1,1,5,15,1,10,1,5,1,5,95,15,30,75,150,5,35,0,5,1e-05,1e-06,0.005,1e-04,NA,NA,NA,NA
"True","PdiiQ4M9J5s",2028,3,1,1,4,10,1,10,0,1,5,1,95,16,40,45,200,50,100,100,50,NA,NA,NA,NA,1e-05,1e-06,1e-04,1e-04
"True","PyuwfV7ueyq",2051,0.5,0,0,0.5,0.5,0,0.5,0,0,0,5,80,9,30,0.5,80,0,0,0,0,1e-05,1e-04,0.01,0.01,NA,NA,NA,NA
"True","PvUdANtXhmR",2050,40,20,10,50,45,45,56,13,19,10,5,10,15,26,70,90,20,65,86,30,1,0.005,2,0.0043,NA,NA,NA,NA
"True","PUOzUAUoIrD",2050,5,10,2,5,15,5,25,25,25,1,1,50,4,8,1,75,15,50,95,20,5,2,15,2,NA,NA,NA,NA
"True","PWgpknKoS8L",2025,0.1,0,0,0,0.1,0,1,0,0.1,0.1,0,99.9,23,33,115,300,5,50,0,1,1e-14,1e-12,1e-10,1e-10,NA,NA,NA,NA
"True","PrdpMLM1Kox",2050,70,20,30,40,80,30,80,20,35,15,5,30,5,15,6,80,5,15,20,30,NA,NA,NA,NA,5,10,15,8
"True","PUw1vCkEbdO",2100,0.01,0.001,0.01,0.01,0.01,0.001,0.01,0.01,0.01,0.001,0.001,99.9,11,16,0.3,15,0.01,0.1,0.2,20,NA,NA,NA,NA,1,1e-09,1,1e-07
"True","PWBlD83IXzc",2060,50,20,15,70,35,5,70,20,80,0,0,0,15,25,0.36,5.33,0,0,0,95,0,0,10,0.5,NA,NA,NA,NA
"True","PpRjHzWG7d0",2035,1,0,0,3,3,0,3,0,2,2,0,95,30,40,60,65,18,35,85,21,0.46,1e-06,0.46,2e-06,NA,NA,NA,NA
"True","PIhwuBSzSNx",2060,1,1,1,2,8,2,11,1,3,2,2,80,30,55,8,85,20,60,95,17,NA,NA,NA,NA,0.001,1e-05,0.01,1e-04
"True","PreIldCq881",2052,0.03,0.01,0.02,0.03,0.05,0.02,0.05,0.01,0.01,0.001,0.001,98,14,23,0.4,48,5,60,90,2032,NA,NA,NA,NA,0.04,0.02,1.02,0.8
"True","PZE3puRlDvT",2030,1,0.1,0.02,0.02,2,0.02,1,0.1,1,1e-04,1e-04,1,15,25,5,35,1,1,0.01,1,NA,NA,NA,NA,0.0049,0.0049,1,0.0049
"True","PI1ighZQeKQ",2025,65,20,11,23,50,15,85,30,70,32,17,88,30,38,2.8,4,60,76,90,0,5e-04,3.9,40,0.008,NA,NA,NA,NA
"True","PaLTmhWsVUB",2100,1e-04,1e-06,1e-04,1e-05,0.001,1,0.001,1e-06,1e-05,1e-09,1e-11,99.9999,13,25,5,40,15,85,99,95,NA,NA,NA,NA,1e-07,1e-11,1e-04,1e-05
"True","PzyuMiWY4Jq",2025,0.09,0.005,0.07,0.05,0.1,0.07,0.09,0.05,0.05,0.005,5e-04,99,15,70,2,85,30,80,95,5,0.05,0.008,0.1,0.06,NA,NA,NA,NA
"True","PVpsBfQGDx0",40,50,50,50,50,50,50,50,50,50,50,50,50,10.1,40.2,19,980,40,50,60,40,NA,NA,NA,NA,18,29,29,23
"True","PO5lOrHU9mM",2049,28,0,12,3,32,15,35,0,0,5,5,65,19,42,8,75,25,55,75,15,NA,NA,NA,NA,0.015,0.007,23,0.08
