"Finished","ID","Lab.Leak_1_1","Lab.Leak_2_1","Lab.Leak_3_1","USGDPFromSoft_1_1","USGDPFromSoft_2_1","USGDPFromSoft_3_1","ComputeCost_1_1","ComputeCost_2_1","ComputeCost_3_1","GFLOPS_1_1","GFLOPS_2_1","GFLOPS_3_1","Pew_1_1","Pew_2_1","Pew_3_1","Happiness_1_1","Happiness_2_1","Happiness_3_1"
TRUE,"PWPJ4iAOo4L",10,12,19,3,3.2,3.6,1800000000000,220000000000,300000000000,10000,20000,30000,51,48,40,91,94,88
TRUE,"PZ6cUL9OoB2",0,0,0,4,5,16,30000000,90000000000,200000000000,0.01,0.01,0,32,41,30,75,70,72
TRUE,"Pry3j9CiRVd",0,0,1,3.5,6,11,30000000,350000000,500000000,0.3,0.25,1,48,43,30,85,82,80
TRUE,"PgMRRE5btZ4",0,0,2,3.01,3.7,5.6,100000000000,260000000000,430000000000,0.01,0.005,0.0007,38,22,70,68,61,43
TRUE,"PtT5tejRt23",0,1,1,3.5,5.07,6,10,20,50,0.03,0.03,0.03,30,35,40,86,88,90
TRUE,"P8eSYyEn626",2,5,3,12.5,20,35,100000,150000,500000,0.03,0.001,0.0001,30,42,50,40,30,50
TRUE,"PAjCm42lW9X",0,1,3,3.8,5,10,5000000000,15,50000000000,50,60,200,40,30,10,88,94,90
TRUE,"PmE2U3HDzSV",1,1,2,5,520,8,10000000000,13000000000,20000000000,2,2,1,60,70,85,80,70,45
TRUE,"PSzNbO4h3yE",2,6,20,15,12,10,5000000000,1000000000,100000000000,0.15,0.1,0.1,45,55,90,70,62,18
TRUE,"P4wC0IJi2II",0,1,3,5,12,25,5000000,15000000,100000000,0.03,0.02,0.001,33,25,20,80,76,67
TRUE,"PshlkpQufxz",0.001,0.002,0.005,3.5,4,6,25000000000,30000000000,70000000000,0.01,0.001,0.0001,33,30,20,80,75,74
TRUE,"PWcvIgTIYRW",2,4,6,35,5,7.5,100000,5000000,10000000,15,18,20,10,15,25,68,70,70
TRUE,"P1GNkk1uuqi",0,1,1,3.5,3.8,4,45000000,40000000,25000000,14000,15000,17000,25,50,50,15,15,15
TRUE,"P0vyxKRonUq",1,5,10,3.1,5.1,10,0.1,0.5,0.5,0.02,0.02,0.01,28,40,50,85,81,75
TRUE,"PCAJFEY2qKY",1,4,10,4,8,25,100,300,900,3,6,9,25,50,60,75,70,70
TRUE,"P3JtuLZxHUt",0,0,0.2,3.99,4.69,5.9,3600000,1800000,1000000,0.02,0.015,0.01,33,35,15,83,85,85
TRUE,"PY5KybM5FPN",1,3,10,3.5,5,25,15000000,30000000,50000000,0.01,0,0,35,37,50,75,80,90
TRUE,"P5KxuczwJ2W",0,0,0,3.43,4.03,4.23,10000000,15000000,20000000,0.02,0.01,0.01,33,35,39,83,78,72
TRUE,"PYeb0elczXn",0,0,0.2,3.3,3.6,4.2,6000000,8000000,15000000,0.01,0.003,0.0001,32,35,25,85,84,86
TRUE,"PjoZK4FKMEK",0,0,0,4,6,10,100000000,150000000,200000000,0.01,0.01,1,50,40,25,50,50,50
TRUE,"P1EelDibiO2",5,30,50,5,9,20,50000000,100000000,10000000000,0.1,0.008,0.0001,55,60,90,83,75,60
TRUE,"PdkOb7jHb7l",0,1,2,3.2,3.8,10,20000000000,25000000000,50000000000,0.03,0.01,0,33,30,25,86,85,84
TRUE,"P2IFeZZ1U2L",0,1,2,3.01,2.97,2.7,5,4.25,3.75,200000000,150000000,75000000,32,37,42,82,78,74
TRUE,"P9fdI8ImO4g",1,1,3,10,12,16,10000000,15000000,50000000,0.3,1,2,35,30,20,82,85,92
TRUE,"P7hugIPGDee",1,2,5,2.8,3,3.8,10000000,8000000,6000000,0.02,0.01,0,32,28,21,87,90,89
TRUE,"Pu8JwBFyx6l",0,0,2,3.1,3.4,5,35000000,1.2,10000000000,0.029,0.021,0.018,30,25,20,82,79,76
TRUE,"PymVYTYjHpk",500000,10000000,1500000000,3,5,8.5,8000000,15000000,28000000,50000,1000000,2000000,15,28,36,80,83,87
TRUE,"P8IkN5JWK2j",0,1,1,3,2.9,2.3,10000000000,200000000000,300000000000,0.3,0.2,0.1,55,65,70,80,75,70
TRUE,"PzdvCnLVur5",1,2,4,4,8,18,30000000,75000000,500000000,0.03,0.024,0.01,35,40,50,80,75,70
TRUE,"PUrGFh03PMg",0,1,2,5,10,25,5000000000,15000000000,100000000000,0.02,0.01,0,35,25,5,80,85,90
TRUE,"PrdpMLM1Kox",0,0,0.01,3.5,5.2,10.2,50000000000,100000000000,200000000000,0.5,0.25,0.1,30,28,25,80,88,94
TRUE,"PYVgr8a5de9",1,3,2,3.03,3.1,3.2,12000000000,15000000000,20000000000,0.02,0.01,0.005,45,48,42,84,82,85
TRUE,"P55eEqfTCsz",0.3,1,2,5,7,10,110000000000,200000000000,300000000000,0.01,0.007,0.001,49,42,35,2.16,2.1,2
TRUE,"P1diXXuZIcI",0,0,2,4,7,15,200000000,1000000000,10000000000,0.01,0,0,33,30,25,84,80,66
TRUE,"PO5lOrHU9mM",0,1,2,6.2,8.5,18,3500000,3000000,1500000,0.25,0.18,0.05,57,63,82,70,65,50
TRUE,"PRZkfVJ4ftN",0,0,0,9,12,18,35000000,37000000,45000000,0.03,0.025,0.015,35,38,42,87,85,84
TRUE,"PCHgDkKgXm0",30,20,10,10,20,30,30,35,40,0.3,0.2,0.1,30,20,10,90,95,97
TRUE,"PbVaRMO75mz",0,0,1,3.1,3.3,4.1,5000000,6.5,10000000,NA,NA,NA,37,35,31,84,89,84
TRUE,"PRVGSuELqiM",0,0,2,3.04,3.1,4,15000000,20000000000,200000000000,0.01,0.005,0.0001,55,65,75,84,85,85
TRUE,"PKxng6AzDS5",0,0,1,3,4,6,10000000000,10000000000,30000000000,0.02,0.02,0.1,33,25,15,82,80,74
TRUE,"P28ZyiuuoY7",0,1,2,2.9,2.8,3.2,1000000000,50000000000,200000000000,0.05,0.1,0.8,33,40,50,88,87,87
TRUE,"PyuwfV7ueyq",0.1,0.1,0.1,2,3.5,7,75000000000,200000000000,220000000000,0.05,0.01,0,48,54,62,87,88,88
TRUE,"PyOIqz81T4h",0,1,3,3.05,3.08,3.1,25000000,40000000,75000000,0.01,0.005,0.0005,55,48,35,84,86,88
TRUE,"P1RIEw9ISzZ",0,1,1,3,2.9,2.9,100000000000,200000000000,250000000000,0.2,0.1,0.05,50,40,25,88,90,90
TRUE,"PnZxB8WH0SC",0,0,0,3.04,3.9,6,10000000000,200000000000,400000000000,0.2,0.1,0.01,41,36,29,88,89,94
TRUE,"PTVhs3rbTvJ",0,1,1,3.1,4.5,7.5,35000000,50000000,150000000,0.03,0.02,0.02,40,45,45,100,100,100
TRUE,"PvUcVV3dJ5Z",5,8,12,3,2.8,2.6,50000000,60000000,75000000,0.2,1,1,40,50,50,43,50,55
TRUE,"PnnTGRaRIsx",3,5,5,5,8,15,10000000,15000000,20000000,100,120,130,40,25,20,50,60,65
TRUE,"P2XK7zzVNHd",1,3,8,2.9,2.6,2.3,20000000000,100000000000,150000000000000,0.01,0.009,0,44,56,69,75,60,45
TRUE,"PcNKnAmsc7C",10,12,15,3,3.5,4,6,10,30,8000,5000,1000,55,60,40,30,30,35
TRUE,"Pws1XzVQDPF",1,1,5,3.9,4,8,20000000000,200000000000,500000000000,0.02,0.01,0.01,50,70,80,80,70,68
TRUE,"Ped9UbyEMhG",0,0,1,3.7,4.7,8,50000000,100000000,1000000000,0.02,0.01,0.001,34,35,38,89,91,93
TRUE,"P6P9kDrd7Z4",0,1,2,3.2,4,5,10000000000,200000000000,210000000000,0.02,0.01,0,34,40,60,84,83,80
TRUE,"PZE3puRlDvT",0,1,3,2.9,3.3,6,2000000,1000000,25000,0.02,0.01,0.01,40,30,15,78,68,48
TRUE,"PAaaifRPJXy",0,0,0,3,2.8,2.6,16000000,36000000,56000000,0.03,0.02,0.02,55,58,60,79,84,86
TRUE,"PhlZ8BiViPv",0,0,0,3.29,5.1,7,10000000,200000000000,300000000000,0.01,0.0001,0.000001,33,40,50,86,80,78
TRUE,"PY6OZhyI1uF",90,250,370,50,65,80,5000000,1000000000,5000000000,10,30,50,40,35,10,35,15,9
TRUE,"P609pgyPs5I",0,0,1,3.5,3.8,8,40000000,45000000,60000000,0.03,0.03,0.01,33,40,50,85,86,87
TRUE,"P4fzFBIjVsw",20,30,50,3.5,3.25,3,6000000,7200000,5000000,0.01,0.0001,0.00000001,33,25,15,84,80,76
TRUE,"PO4xkbkkTGR",0.05,0.5,1.5,3.3,5.1,8,20000000,200000000000,200000000000,0.02,0.01,0.003,35,39,20,85,88,81
TRUE,"PGszwdpWA4M",0,0,1,3,3,3,5000000,8000000,8000000,0.3,0.3,0.3,50,60,70,50,60,86
TRUE,"PXctH55oDPm",1,1,1,3,3,3,20000000000,20000000000,20000000000,14,14,14,33,33,33,96,96,96
TRUE,"P1rYERhwf4k",0,0,1,3.5,4,9,5000000,25000000,45000000,0.02,0.01,0.005,30,29,40,82,81,69
TRUE,"P1wFpNtd2i4",0,1,4,3.2,3.6,5.7,40000000,50000000,100000000,0.02,0.07,0,30,27,15,85,81,75
TRUE,"PfROGxvG8jS",20,15,3,20,18,8,24,28,38,14,20,25,10,8,6,20,20,25
TRUE,"P2Jo6mkheCC",0,0,1,3.1,3.6,4.7,7000000,15000000,45000000,0.03,0.026,0.02,40,35,25,70,80,82
TRUE,"PTwtfesYrHW",0.3,0.4,0.5,3.02,3,5,5000000,25000000,500000000,0.03,0.02,0.01,32,28,20,84,80,70
TRUE,"PNVn04f1hux",0.3,0.5,0.7,3.4,3.9,5,10000000,12000000,16000000,22000,23000,30000,5,7,15,0.6,0.4,0.3
TRUE,"PR1ymlIhb92",0,1,5,15,30,60,200000000,500000000,1000000000,0.01,0.005,0.0005,32,40,30,70,50,80
TRUE,"PCnvfBZOK8T",0,0,0,4,5.5,10,8000000,12000000,15000000,0.005,0.0005,0.0000005,33,40,35,84,90,83
TRUE,"Pm79Pfj5MXs",0.01,0.1,0.15,3,3,3.5,200000000000,500000000000,700000000000,0.01,0.001,0.0001,34,30,53,80,70,85
TRUE,"PnQpTAOadM4",0,1,1,3.5,4,4.3,2000000,1750000,1000000,0.01,0,0,35,38,40,87,90,94
TRUE,"P6xm9gAv351",0,0,0,3.5,6,10,100000000000,150000000000,300000000000,0.02,0.01,0.01,40,30,15,88,89,88
TRUE,"PHGp4pFds1I",0.01,0.06,0.69,4.5,4.8,5.7,12000000,40000000,500000000,0.01,0,0,31,27,14,88,91,89
TRUE,"PyDf7vLWbGe",0,0,0,5,10,25,35000000,40000000,50000000,1,0.1,0.001,30,40,50,80,75,70
TRUE,"PAgnPFWnBt2",0,0,0,3,3,3,40000000,50000000,75000000,0.01,0.01,0.02,34,40,48,86,80,70
TRUE,"PlBhwmZ0rP6",0.0001,0.0001,0.001,4.06,4.97,6.9,6000000,10000000,50000000,3,1,0.3,55,59,65,95,89,94
TRUE,"PKaUKvu4Ak5",0,1,2,3.2,5,13,1000000000,1.2,2.4,0.01,0.001,0.0001,56,58,68,74,64,84
TRUE,"P2Vdn8kSpy6",0,0,1,3,4,6,250000000,500000000,1000000000,0.002,0.000179,0.00000446,30,18,60,84,82,80
TRUE,"PTdVUh2xcQr",1,2,2,3,5,8,5000000,5500500,7000000,0.03,0.03,0.03,30,35,50,85,82,80
TRUE,"PNMkqJmNyVy",1,2,3,12,40,60,10000000,10000000000,1000000000000,20,27,35,1,5,7,30,30,30
TRUE,"PnLaYYNfwRf",1,2,4,3.1,3,2.5,10000000,100000000,20000000000,0.03,0.01,0.01,33,38,50,50,50,50
TRUE,"PfhwmD6QSHh",1000,4000,6000,20,23,57,4.3,10000000,35000000,10000,16000,30000,13,27,60,10,30,60
TRUE,"PJeAERAbOPF",0,0,0,3.09,4.02,6.07,15000000000,40000000000,90000000000,0.02,0.01,0.001,34,35,40,78,81,77
TRUE,"PL8ZpHCSIjf",1,3,7,5,8,10,10000000,20000000,40000000,0.005,0.0005,0.00001,55,48,30,85,82,83
TRUE,"PkXwXbM9tn3",0,1,2,3.6,4,5,20000000,60000000,200000000,0.01,0.001,0.00001,40,45,70,81,83,88
TRUE,"PYETbTdBjKd",0,0,0,4,10,10,20000000000,20000000000,20000000000,0.03,0.03,0.03,50,50,50,80,70,50
TRUE,"POQv4APL71w",1,2,2,70,75,75.9,5000000,7000000,10000000,0.08,0.06,0.03,50,48,60,50,48,40
TRUE,"Pk3F1vO3cVs",0,0,2,5,9,15,8,12,17,0.03,0.05,0.7,37,31,20,82,85,91
TRUE,"Pac3iLqteOA",0,1,4,3.5,4,9,35000000,80000000,300000000,0.02,0.01,0.005,34,29,20,84,81,75
TRUE,"PHc7abs1CeH",0,1,1,3.4,4.12,6.52,7400000,100000000,50000000000,0,0,0,30,28,20,83,78,84
TRUE,"PIb99H4Rv4g",3,7,10,4,6,9,5000000,6000000,7000000,0.02,0.04,0.06,20,30,40,50,55,60
TRUE,"PwLYtBBlIdU",4,7,9,3.4,4.3,6.9,6300000,9400000,15600000,2304,3940,5240,45,53,83,84,80,70
TRUE,"PWeAPCbKE0n",0,1,2,3.1,3.5,4,10000000,50000000,250000000,0.03,0.02,0,55,60,68,85,82,75
TRUE,"PoXfHuaqm90",0,0,1,3.8,5,8,50000000,75000000,500000000,0.25,0.02,0.0001,35,40,45,88,87,88
TRUE,"P51iEV59ge2",2,5,20,3,3.5,3.8,5000000,7000000,10000000,0.01,0.05,0.05,30,25,20,30,40,50
TRUE,"P0BvNGszIQa",10,15,30,3.5,4.2,7,50,110,300,22,32,125,27,33,45,88,85,75
TRUE,"Po2wUSJzgGV",10,17,35,3.5,4.5,6.25,110000000000,200000000000,1000000000000,0.03,0.03,0.02,30,28,22,85,81,71
TRUE,"P0DKx3BNQLw",0,0,1,5,7,5,100000000,200000000000,1000,0.02,0.007,0.0001,20,15,45,80,70,88
TRUE,"P7pQJVDUCBm",0,0,0,3,3.2,3.5,55000000,100000000,250000000,0.02,0.01,0.001,65,70,75,90,90,90
TRUE,"PZAMTP8Va3i",0,0,1,3,5,20,150000000000,200000000000,250000000000,0.02,0.009,0.0003,30,25,30,81,75,65
TRUE,"PCUNo0jI2yi",3,5,8,11,12,15,1000000000,80000000000,120000000000,0.03,0.028,0.025,38,30,25,83,80,78
TRUE,"Pns823zNpEm",0,1,2,5,10.2,20.1,4.8,5,15,160000,175000,190000,49,52,69,85,92,96
TRUE,"PFIbgztqAUg",0.001,0.01,1,3,10,30,20,50,200,0.01,0.001,0.001,35,45,30,85,82,75
TRUE,"PdTErp089wB",3,8,14,5,9,13,12000000000,18000000000,40000000000,0.01,0.01,0.01,62,52,38,35,28,18
TRUE,"P55EtOviLcv",0,0,0,3,3,4,6000000,5000000,10000000,0.03,0.02,0.01,30,25,25,82,78,82
TRUE,"P4dMaH8wQnr",0.1,1,2,3.2,4,4.5,20000000000,200000000000,300000000000,0.015,0.006,0.001,33,30,25,87,90,88
TRUE,"PiUmeczZTqa",2,5,10,2,3,3,1000000,1000000,1000000,1,60,50,30,40,50,40,50,50
TRUE,"PpWEjGNqmSy",0,1,2,5,7,10,78000,27200000,1000000000,0.01,0.001,0.0001,40,35,30,84,82,80
TRUE,"POpqx30D0SP",60,50,50,3,6,8,19000,23000,27000,14000,20000,25000,50,60,70,25,25,50
TRUE,"PQQKAsNWko8",0.2,0.6,0.75,3.1,3.35,3.3,2000000,800000,300000,0.01,0,0,65,57,43,91,89,90
TRUE,"P7m1zbFUJRe",5,15,25,20,25,30,85000000,140000000,220000000,185,90,60,20,20,20,60,50,40
TRUE,"PYxcgDv9Fwx",4,7,11,3.4,5.7,8.9,240000000,7500000000,27000000000,0.06,0.05,0.01,23,29,36,76,80,89
TRUE,"PUsPuXxXTge",1,3,7,4,7,10,200000000,100000000000,500000000000,0.03,0.02,0,40,33,20,84,80,85
TRUE,"PuMtzFMNjku",2,4,6,3.5,5,10,2000000,800000,400000,0.4,0.3,0.2,44,50,45,60,65,70
TRUE,"Pj4y5ajBKY0",0,0,1,5,8,10,100000000,100000000,150000000,0.01,0.0025,0.0005,35,30,20,80,78,85
TRUE,"Pdj72AU2SgT",0,0,1,3.5,4.5,8,35000000,100000000,500000000,0.01,0.001,0.00005,30,25,22,86,85,83
TRUE,"PpLNsKTS7im",0,2,3,5,8,15,5000000,3000000,3000000,18,20,25,40,45,45,80,75,68
TRUE,"PgUt4xY0psJ",0.04,0.26,0.5,3.7,4.5,40.4,15,28,44,8.5,10,14,35,39,47,38,31,26
TRUE,"PG39eJjRnZw",1,2,4,3.1,3.75,6,50000000,70000000,100000000,0.01,0,0,25,20,10,80,60,75
TRUE,"PlO2nEzlDFn",1,2,3,3.3,4.5,5.3,3000000,1000000,500000,0.01,0.005,0.0005,30,25,20,80,77,75
TRUE,"P3r2uTwzoCU",4,10,8,15,20,35,6,12,14,0.05,0.04,0.02,30,45,60,90,80,60
TRUE,"P8G8AWvVGVJ",7,11,116,3.7,3.9,4,160000000,165000000,171000000,NA,NA,NA,40,57,65,82,86,89
TRUE,"Pspv2RqHWPv",0,0,0,4,5,8,150000000000000,130000000000000,80000000000000,0.2,0.05,0.04,37,43,56,81,79,91
TRUE,"PWGEhbgMVb3",0,0,1,0,0,0,500000,750000,2000000000,0,0,0,20,25,60,30,45,80
TRUE,"PsSkpNiXB5x",0,1,1,3.08,3.18,3.45,150000000,200000000,280000000,0.022,0.018,0.011,28,22,15,84,92,86
TRUE,"PVWEeAGa8CH",0,1,3,3.6,5.1,7.4,399999999999999966445568,3999999999999999932891136,500000000000000006643777536,0.1,0.01,0.001,33,39,43,83,79,75
TRUE,"PfSyPMmGlZM",0,0,1,3.4,4.6,8.6,50000000,100000000,500000000,0.005,0.002,0.0001,30,25,15,81,76,65
TRUE,"PvUdANtXhmR",2,3,5,4.7,6.4,8.5,30000000000,52000000000,120000000000,0.01,0.01,0,37,43,60,56,44,36
TRUE,"PGcfJuStZIM",0,0,1,3.05,3.12,4,5000000,4000000,4000000,0.01,0.008,0.001,25,15,15,85,83,90
TRUE,"PT1JHzGsqYm",55,45,20,50,60,70,NA,NA,NA,50,20,10,50,40,20,35,45,60
TRUE,"P4FpNc4qFar",1,2,4,12,13,15,200000000000,20000000000,200000000,10000,12000,15000,18,12,10,88,65,34
TRUE,"PiiUvn24MT1",0,0,0,3.5,4,5,80000000,150000000,180000000,0.02,0.01,0.001,30,35,25,85,86,82
TRUE,"Pu0qkcoRyHY",0,0,1,4,8,12,5000000,10000000,15000000,0.03,0.01,0.01,43,42,50,39,41,44
TRUE,"P91QEqjhcZS",0,0,0,4,5,7,40000000,50000000,60000000,0.03,0.03,0.03,48,55,65,70,65,70
TRUE,"PgBxLEbDe0S",0,1,4,3.2,4,7,20000000000,24000000000,40000000000,3,2,0.3,32,27,18,80,78,82
TRUE,"PdiiQ4M9J5s",0,0,1,3.01,3.5,2.8,200000000000,500000000000,500000000000,0.02,0.01,0.01,55,50,55,86,85,83
TRUE,"PVWYTLkhw8t",2,4,30,25,30,45,20000000,35000000,40000000,0.3,0.25,0.1,2,3,4,20,35,50
TRUE,"PbOYlj3R74w",0,0,0,0.11,15,5,5000000,1000000,0,0.02,0.01,0.001,80,85,90,55,70,85
TRUE,"PXTe7Ke9X8N",0.3,1,3,3.5,4,6,6000000,8000000,4000000,0.02,0.01,0.01,30,35,10,83,85,75
TRUE,"Pj46o0WZGML",0,1,3,3.5,5,13,20000000,200000000,800000000,700,500,200,35,45,60,80,75,60
TRUE,"PUw1vCkEbdO",0,0.75,1.5,3,3.15,2.9,20000000,50000000,150000000,0.005,0.001,0.0001,29,25,15,85,88,85
TRUE,"PV6alBlyXyh",1,2,3,7.5,8.9,18,20000000000,30000000000,400000000,0.03,0.01,0.001,33,36,20,75,70,60
TRUE,"PWBlD83IXzc",0,1,3,1,3,7,25000000,40000000,75000000,0.13,0.06,0.01,40,50,60,60,65,70
TRUE,"PM7YCHjaQ6z",0,0,0,3,4,7,3000000,5000000,3000000,0.02,0.01,0.005,35,30,20,80,75,75
TRUE,"PNmydPL6XeZ",0,0,1,3.5,5,7,11000000,12000000,15000000,0.03,0.01,0.01,32,30,20,85,82,75
TRUE,"PcDodlXisuH",0,0,2,4,6.5,20,10000000,15000000,18000000,0.05,0.06,0.03,35,36,22,85,88,92
TRUE,"Pov1ebYBMOU",0,2,4,3.02,3.85,10,8000000,30000000,100000000,0.2,0.1,0.01,35,30,22,87,89,88
TRUE,"PonW3lOpcCy",0,0,2,4,15,30,10000000000,20000000000,100000000000,0.03,0.02,0.01,40,45,50,80,80,80
TRUE,"PduNwZqpLoY",0,0,0,50,50,75,25000000000,30000000000,80000000000,0.02,0.02,0.01,20,10,25,10,10,5
TRUE,"PYPfxFnbSrv",0,1,2,3,2.8,2.7,10000000000,20000000000,30000000000,0.02,0.01,0.005,35,40,50,91,91,91
TRUE,"PMe8OPck68b",1,1,1,3.6,3.9,6.9,30000000000,200000000000,400000000000,0.01,0,0,30,29,10,50,45,40
TRUE,"Pp6mt4GpH96",0,1,2,3.3,4.2,7.5,30000000000,300000000000,1500000000000,0.02,0.015,0.01,46,43,35,93,88,91
TRUE,"PpZm9xZSfXI",1,5,10,3,3,3,20000000000,50000000000,200000000000,500,300,200,30,40,50,85,83,81
TRUE,"PPCevaWvmv5",0,1,2,3.1,4,5,5000000,7000000,10000000,0.04,0.04,1,53,57,60,85,83,80
TRUE,"PRlEc5osllQ",0,1,1,3,3.2,3.5,4800000,6000000,5000000,0.02,0.01,0.0089,48,45,51,88,87,86
TRUE,"P6yHFyeXeZy",0,0,0,2.9,6,15,20000000000,200000000000,20000000000,0.3,0.2,0.1,33,35,37,85,83,90
TRUE,"P8VZdzuuT2p",1,2,1,4,4.5,5,170000000,230000000,280000000,0.04,0.07,1,30,25,20,50,50,50
TRUE,"PeT0WiiAZUl",0.01,0.01,0.02,3,2.5,1.5,20000000000,15000000000,10000000000,0.03,0.02,0.01,55,60,75,82,81,92
TRUE,"PpRjHzWG7d0",2,1,3,35,40,45,100000,150000,200000,18,25,40,30,25,20,80,85,70
TRUE,"PJ3m9uFK9N5",1,2,4,4.5,5.8,10,75000000000,220000000000,1000000000000,0.01,0.005,0.001,34,39,42,84,82,78
TRUE,"PCxTZNHBFsx",0,1,2,12,13,16,4500000,3000000,2900000,0.05,0.03,0.01,50,65,30,36,31,26
TRUE,"PdfXVwSypvz",0,5,10,5,10,15,80000000,120000000,200000000,880,400,250,25,15,5,70,60,50
TRUE,"P47C0i6e3QU",3,8,19,20,28,40,1000000,3000000,50000000,200000,300000,1000000,5,10,25,50,48,38
TRUE,"PPnI11TNSdc",0.01,0.05,0.1,3.5,3.8,5,13000000,25000000,40000000,0.25,0.24,0.15,26,25,23,72,75,89
TRUE,"P1OPPtCUnVy",0,1,2,2.9,3.2,5.1,300000000000000008388608,499999999999999991611392,49999999999999993792430080,14,20,30,33,25,15,84,82,86
TRUE,"PP9yRoGtIfj",0,1,2,12,15,25,20000000000,22000000000,35000000000,0.01,0.008,0.004,30,25,15,42,48,58
TRUE,"PJtE6mcNxCj",2,7,18,4.5,6.8,30,55000000,250000000,1000000000,3,3,1,44,67,90,80,66,22
TRUE,"Pvebd7L4Vk2",0,0,0,4,5,7.5,5,8,30,0.025,0.02,0.001,35,33,25,91,92,91
TRUE,"PrPCyZp7fkl",0,1,2,2.6,4.7,7.7,6000000000,17000000000,45000000000,0.018,0.01,0.003,38,41,29,83,82,78
