"Finished","ID","NumParamML_1_1","NumParamML_2_1","NumParamML_3_1","StateBio100k_1_1","StateBio100k_2_1","StateBio100k_3_1","PHEIC10k_1_1","PHEIC10k_2_1","PHEIC10k_3_1","mRNA_1_1","mRNA_2_1","DiseaseSurveil_1_1","DiseaseSurveil_2_1","MaxCompute_1_1","MaxCompute_2_1","MaxCompute_3_1","HumanExtReasons","HumanExtReasons_8_TEXT"
"True","P2Vdn8kSpy6",1.5e+07,1e+07,2e+07,0,1,10,1,4,10,4e+10,6e+10,20,40,410000,7e+05,2e+07,"Nuclear Weapons",""
"True","P1rYERhwf4k",6e+06,8430000,5e+07,0,0,0,0,2,9,0,0,0,0,30,470,10000,"Natural Pathogens (e.g. natural pandemics)",""
"True","PCAJFEY2qKY",200,1000,10000,5,50,100,2,2,2,75,75,20,80,50,40,25,"Nuclear Weapons",""
"True","P7hGbwnLdGN",1.2e+07,1.8e+07,1.59e+14,0,0,1,1,3,7,6.01e+09,6.05,0,10,62.784,1118.243,9999.888,"Other","Climate change"
"True","PfgcpKdXUUQ",45,200,5000,8,28,599,2,6,20,1e+09,0,0,1,45,450,45000,"Nuclear Weapons",""
"True","P4dMaH8wQnr",2e+14,5e+14,2e+15,0,0,1,1,4,12,6e+09,7e+09,0,1,50,250,1500,"Other","Global warming"
"True","PjxXbkg074N",1e+20,1e+26,1e+46,0,0,1,0,1,4,145200,14520000,1,5,89784,397840,3978400,"Other","climate change - extreme weather events"
"True","PyOIqz81T4h",1e+10,1e+15,1e+25,0,2,2,1,1,1,25,50,50,65,NA,NA,NA,"Other","The planet"
"True","PdiiQ4M9J5s",1.7e+13,3.4e+13,8.5e+13,0,1,1,1,2,6,50000,5e+06,5,7,50000,60000,30000,"Other","Human-caused climate change"
"True","P5kUmCxDC1h",15,25,85,0,1,2,0,2,5,3,10,3,15,5,25,80,"Natural Pathogens (e.g. natural pandemics)",""
"True","PvUdANtXhmR",8600000,1e+07,2e+07,2,4,10,3,5,8,8e+07,9.2e+07,20,40,30,50,80,"Nuclear Weapons",""
"True","PlcpCISuhXg",1e+15,1e+21,1e+36,0,0,0,0,1,6,200,5e+06,5,15,40,1000,5000,"Other","God"
"True","PWgpknKoS8L",1e+14,1e+16,1e+18,0,0,0,1,3,7,1e+05,2e+06,2,10,2.5e+10,5e+10,1.5e+11,"Natural Pathogens (e.g. natural pandemics)",""
"True","PiQOLKNb5mQ",2e+14,4e+14,8e+14,0,0,1,1,4,8,5.46e+09,5.5e+09,50,80,40,50,65,"Natural Pathogens (e.g. natural pandemics)",""
"True","P2XK7zzVNHd",1.5e+16,1.5e+28,1.5e+36,80000,66000,50000,4000,3500,1500,1.4e+10,1.5e+10,1.2e+08,1.25e+08,40.567,60.455,70.676,"Natural Pathogens (e.g. natural pandemics)",""
"True","P3r2uTwzoCU",7e+07,1e+08,1e+14,0,0,1,0,2,4,10,30,0,25,15,25,30,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
